symbol,mfr,fp
ETON,0.2464985693215389,none
AGNPF,1.9180822085448246,up
AGNPF,0.13392854957100098,up
AGNPF,0.09649124182932711,none
AGNPF,0.024251833017181257,down
AGNPF,0.08875812972986052,down
AGNPF,0.04384130751722504,down
AGNPF,0.0,down
AGNPF,0.48735434051328186,up
AGNPF,0.8317199840474365,up
AGNPF,0.0036254225632785797,down
AGNPF,0.06307582268349154,down
AGNPF,1.4784988803091292,up
CBIH,1.0,none
CBIH,2.6153845533882905,up
CBIH,0.0,down
CBIH,0.3809524126300208,none
CBIH,2.9166664241347577,up
CBIH,0.2727272342428686,none
CBIH,0.12500000909494724,none
CBIH,0.16666656965390314,down
CBIH,0.2727272342428686,none
CBIH,2.6153845533882905,up
CBIH,1.857143094725155,up
CBIH,0.705882308630847,none
RGNX,0.0999139393100048,none
RGNX,0.08341324812989614,down
RGNX,0.2208883756831137,none
RGNX,0.13542603412939624,down
RGNX,0.07446362741594137,none
RGNX,0.24109591546526565,down
RGNX,0.20820902947408837,down
RGNX,0.1528301723829244,down
RGNX,0.14334177997042885,down
RGNX,0.028442118473719136,down
RGNX,0.0610421620606485,down
RGNX,0.08693437101373114,down
CMGMF,0.14845369192889413,up
KTEL,0.09890106723095893,none
KTEL,0.42168671237936084,up
KTEL,0.04347832396711104,down
KTEL,0.09428569409312004,none
KTEL,0.21875001164153196,none
KTEL,2.643750108266252,up
KTEL,0.929411693757795,up
KTEL,0.0077519152997962415,down
KTEL,0.34013604780178874,none
KTEL,1.269938644698272,up
KTEL,0.5151514549448057,none
KTEL,0.7098445947891798,up
ATRO,0.06096930381819865,down
ATRO,0.22067206570624798,up
ATRO,0.38267569987040906,down
ATRO,0.3527001908276852,up
ATRO,0.07896131338290124,none
ATRO,0.09097579249639098,down
ATRO,0.168539400553809,up
ATRO,0.1705251893387978,up
ATRO,0.3282130402822465,up
ATRO,0.09133267538481848,none
ATRO,0.09119744429581478,down
ATRO,0.47949420135365073,up
CNEY,0.06172839506172845,down
CNEY,0.6704544875740033,down
CNEY,0.2407407407407407,down
CNEY,1.2131147540983607,up
CNEY,0.026881720430107503,down
CNEY,0.054905968294571394,down
CNEY,0.3088235294117647,none
CNEY,1.109375,up
CNEY,0.03076923076923066,down
CNEY,0.510204081632653,down
CNEY,0.11570247933884303,none
CNEY,0.9642857484975638,down
FGCO,0.7071427970820545,down
FGCO,1.4999999627470975,up
FGCO,0.21999994039535764,up
FGCO,0.39999998509883894,down
FGCO,0.7500000465661298,up
FGCO,0.24999998137354873,up
FGCO,0.2797202083078034,up
FGCO,1.941176439651569,up
FGCO,1.941176439651569,up
FGCO,0.4076923464882318,up
FGCO,0.6867470593320275,up
