symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
YQ,tb_245#0,原有,True,3,245,2025-09-12,242,248,242,2,2,115,6,3.874775820234202,240,1.406716286790855,0.018656698160751883,1,0,0,0,1,0,1,0,1,0.04585754965728723
YQ,tb_256#0,原有,True,2,256,2025-09-29,246,248,246,0,1,115,6,3.874775820234202,240,0.6124999523162842,-0.03750002384185791,1,0,0,0,1,0,1,0,1,0.08985236243258553
YQ,tb_256#1,原有,True,1,256,2025-09-29,248,248,248,0,0,115,6,3.874775820234202,240,0.6124999523162842,-0.03750002384185791,1,0,0,0,1,0,1,0,1,0.08985236243258553
YSG,tb_123#0,新增,True,2,123,2025-03-19,118,121,120,0,3,87,3,7.898095585736403,65,0.0,-0.42033897948929444,0,1,0,0,0,1,0,1,1,0.0750241774919235
YSG,tb_123#1,新增,True,2,123,2025-03-19,119,121,120,0,2,87,3,7.898095585736403,65,0.0,-0.42033897948929444,0,1,0,0,0,1,0,1,1,0.0750241774919235
YSG,tb_123#2,原有,True,2,123,2025-03-19,120,121,120,0,1,87,3,7.898095585736403,65,0.0,-0.42033897948929444,0,1,0,0,0,1,0,1,1,0.0750241774919235
YSG,tb_123#3,原有,True,1,123,2025-03-19,121,121,121,0,0,87,3,7.898095585736403,65,0.0,-0.42033897948929444,0,1,0,0,0,1,0,1,1,0.0750241774919235
WWR,tb_263#0,原有,True,2,263,2025-10-08,259,261,259,0,1,48,4,10.918036208289996,175,1.4509804379889628,-0.464052282234621,1,0,0,0,1,0,1,0,1,0.10947708663322012
WWR,tb_263#1,原有,True,1,263,2025-10-08,261,261,261,0,0,48,4,10.918036208289996,175,1.4509804379889628,-0.464052282234621,1,0,0,0,1,0,1,0,1,0.10947708663322012
WYY,tb_154#0,新增,False,1,154,2025-05-02,151,159,159,2,2,96,3,6.255512714985055,89,0.34347825140493327,-0.3826087015112317,0,1,0,0,0,1,0,0,1,0.11930650952221405
WYY,tb_157_159#0,新增,False,1,157,2025-05-07,154,159,159,1,1,96,3,6.255512714985055,89,0.1981358087558275,-0.4494003740216151,0,3,0,0,0,3,0,3,3,0.1259149279987461
WYY,tb_162#0,原有,True,1,162,2025-05-14,159,159,159,0,0,96,3,6.255512714985055,89,0.001666704813639397,-0.5266666809717815,0,1,0,0,0,1,0,1,1,0.1083881624984344
XPON,tb_209_211#0,新增,True,1,209,2025-07-23,205,206,206,0,1,46,3,391.5123773700691,104,2.883172660390464,-0.2374860935334591,3,0,0,0,3,0,3,0,3,0.09386898725188825
XPON,tb_209_211#1,原有,True,1,209,2025-07-23,206,206,206,0,0,46,3,391.5123773700691,104,2.883172660390464,-0.2374860935334591,3,0,0,0,3,0,3,0,3,0.09386898725188825
XTNT,tb_164_168#0,新增,False,1,164,2025-05-16,161,165,165,1,1,141,3,67.1906700013981,72,0.11567297261463398,-0.1990039868707097,0,0,0,5,0,0,0,0,5,0.10874700763291606
XTNT,tb_168_169#0,原有,True,1,168,2025-05-22,165,165,165,0,0,141,3,67.1906700013981,72,0.0612735426913259,-0.23805998944013546,0,0,0,2,0,0,0,0,2,0.10303029124698965
XTNT,tb_268#0,新增,True,1,268,2025-10-15,265,266,266,0,1,96,4,7.75362484301861,73,0.2337662488458374,-0.2727272516158278,0,1,0,0,0,1,0,0,1,0.06299597260710604
XTNT,tb_268#1,原有,True,1,268,2025-10-15,266,266,266,0,0,96,4,7.75362484301861,73,0.2337662488458374,-0.2727272516158278,0,1,0,0,0,1,0,0,1,0.06299597260710604
WRBY,tb_312_313#0,新增,True,1,312,2025-12-17,305,308,308,0,3,99,4,8.945795708992224,88,0.12128671524087598,-0.21921070676657334,0,0,0,2,0,2,0,0,2,0.06208028976049046
WRBY,tb_312_313#1,新增,True,1,312,2025-12-17,306,308,308,0,2,99,4,8.945795708992224,88,0.12128671524087598,-0.21921070676657334,0,0,0,2,0,2,0,0,2,0.06208028976049046
WRBY,tb_312_313#2,新增,True,1,312,2025-12-17,307,308,308,0,1,99,4,8.945795708992224,88,0.12128671524087598,-0.21921070676657334,0,0,0,2,0,2,0,0,2,0.06208028976049046
WRBY,tb_312_313#3,原有,True,1,312,2025-12-17,308,308,308,0,0,99,4,8.945795708992224,88,0.12128671524087598,-0.21921070676657334,0,0,0,2,0,2,0,0,2,0.06208028976049046
WRD,tb_82#0,新增,True,1,82,2025-02-26,73,75,75,0,1,53,3,196.21247543188167,64,0.03898885353311399,-0.7043701777952913,0,1,0,0,0,1,0,1,1,0.09333916459875834
WRD,tb_82#1,原有,True,1,82,2025-02-26,75,75,75,0,0,53,3,196.21247543188167,64,0.03898885353311399,-0.7043701777952913,0,1,0,0,0,1,0,1,1,0.09333916459875834
XYF,tb_108_112#0,原有,True,2,108,2025-02-26,101,102,101,0,1,81,3,7.695888354016693,93,0.7373588801319106,-0.03285565516629898,5,0,0,0,5,0,5,0,5,0.0470807283019475
XYF,tb_108_112#1,原有,True,1,108,2025-02-26,102,102,102,0,0,81,3,7.695888354016693,93,0.7373588801319106,-0.03285565516629898,5,0,0,0,5,0,5,0,5,0.0470807283019475
ZOOZ,tb_207#0,新增,False,3,207,2025-07-21,205,211,208,3,3,167,7,612.7661507402423,163,2.151079168280709,-0.021582679517531345,1,0,0,0,1,0,1,0,1,0.11254960346292564
