rule,kind,n_drop,n_keep,med,fp,drop_mean_fr,drop_med_fr,kept_mean_fr,d_med,d_fp
max_drop_pct>=0.1 OR dd_close<=-0.1,or,34,46,0.45302459792089933,0.76,0.8922500535696385,0.5736226189635184,0.808551604617896,-0.0721085693572816,0.03218934911242599
max_drop_pct>=0.1 AND dd_close<=-0.1,and,24,56,0.5283788673625691,0.782258064516129,0.6946040596285931,0.4209105147115105,0.9082031821911551,0.003245700084388181,0.054447413628554986
max_drop_pct>=0.1 OR dd_close<=-0.15,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND dd_close<=-0.15,and,19,61,0.5351811772753443,0.762962962962963,0.7198087745019525,0.3131312523164531,0.8828444084959645,0.010048009997163376,0.035152312075388936
max_drop_pct>=0.1 OR dd_close<=-0.2,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND dd_close<=-0.2,and,14,66,0.5535485337021719,0.777027027027027,0.3944300877545933,0.209102462466206,0.9395129455337367,0.028415366423991006,0.049216376139452955
max_drop_pct>=0.1 OR dd_close<=-0.3,or,27,53,0.5351811772753443,0.7894736842105263,0.7198481597339419,0.3131312523164531,0.9074334966221604,0.010048009997163376,0.06166303332295231
max_drop_pct>=0.1 AND dd_close<=-0.3,and,7,73,0.5483871463930441,0.7784810126582279,0.2575160695555527,0.1583101794497246,0.9003734677657814,0.023253979114863155,0.05067036177065387
max_drop_pct>=0.1 OR dd_low<=-0.2,or,41,39,0.4200912391952296,0.7708333333333334,0.9806015160505435,0.5587099210112999,0.7006464993774013,-0.10504192808295132,0.04302268244575935
max_drop_pct>=0.1 AND dd_low<=-0.2,and,23,57,0.5215765574497939,0.7520661157024794,0.8130040573816428,0.5286897771065678,0.856680391473915,-0.003556609828387014,0.02425546481490537
max_drop_pct>=0.1 OR dd_low<=-0.3,or,31,49,0.5215765574497939,0.7850467289719626,0.738811620320131,0.5286897771065678,0.9107492939564666,-0.003556609828387014,0.057236078084388575
max_drop_pct>=0.1 AND dd_low<=-0.3,and,16,64,0.5535485337021719,0.7746478873239436,0.6641982429181114,0.209102462466206,0.8891047460484555,0.028415366423991006,0.04683723643636961
max_drop_pct>=0.1 OR dd_low<=-0.4,or,28,52,0.5283788673625691,0.7857142857142857,0.7222313058381685,0.4209105147115105,0.9097576744292734,0.003245700084388181,0.05790363482671168
max_drop_pct>=0.1 AND dd_low<=-0.4,and,9,71,0.5351811772753443,0.7718120805369127,0.8121913490273142,0.1861924325148261,0.8481711759513395,0.010048009997163376,0.04400142964933873
max_drop_pct>=0.1 OR down_slope>=0.03,or,42,38,0.4226848338683858,0.7613636363636364,0.8340850712811613,0.5535485337021719,0.8552184905258461,-0.10244833340979514,0.033552985476062336
max_drop_pct>=0.1 AND down_slope>=0.03,and,23,57,0.5351811772753443,0.784,0.6963804603267046,0.3131312523164531,0.9037390358995916,0.010048009997163376,0.05618934911242601
max_drop_pct>=0.1 OR down_slope>=0.05,or,37,43,0.4408842320037164,0.7628865979381443,0.8878148186598162,0.5885353169157369,0.8065285428692496,-0.08424893527446453,0.035075947050570266
max_drop_pct>=0.1 AND down_slope>=0.05,and,20,60,0.5417841618341942,0.7769230769230769,0.6911254335229179,0.2725718723670195,0.8951227827222095,0.016650994556013266,0.04911242603550292
max_drop_pct>=0.1 OR down_slope>=0.08,or,31,49,0.5351811772753443,0.7870370370370371,0.7163740556673373,0.4200912391952296,0.9249444879204789,0.010048009997163376,0.05922638614946307
max_drop_pct>=0.1 AND down_slope>=0.08,and,18,62,0.5417841618341942,0.7777777777777778,0.7103226322981429,0.2725718723670195,0.882968842781038,0.016650994556013266,0.04996712689020377
